location_project,NearestSite,project,location,Lat,Long,NR,NSR,LUF,AHM,PET,FFP,MAP,MAT,MCMT,MWMT,TrueLat
OG-ABMI-626-53-1_ABMI Off-Grid Monitoring 2018,626,ABMI Off-Grid Monitoring 2018,OG-ABMI-626-53-1,56.22192,-114.478264,Boreal,Central Mixedwood,Lower Peace,19.8,504,95,481,-0.5,-21.3,15.2,56.22192
OG-ABMI-629-21-1_ABMI Off-Grid Monitoring 2015,629,ABMI Off-Grid Monitoring 2015,OG-ABMI-629-21-1,56.092342,-113.575829,Boreal,Central Mixedwood,Lower Peace,20.2,515,93,476,-0.4,-21,15.5,56.092342
OG-ABMI-629-21-2_ABMI Off-Grid Monitoring 2015,629,ABMI Off-Grid Monitoring 2015,OG-ABMI-629-21-2,56.092342,-113.575829,Boreal,Central Mixedwood,Lower Peace,20.2,515,93,476,-0.4,-21,15.5,56.092342
OG-ABMI-629-21-3_ABMI Off-Grid Monitoring 2015,629,ABMI Off-Grid Monitoring 2015,OG-ABMI-629-21-3,56.092342,-113.575829,Boreal,Central Mixedwood,Lower Peace,20.2,515,93,476,-0.4,-21,15.5,56.092342
OG-ABMI-629-21-4_ABMI Off-Grid Monitoring 2015,629,ABMI Off-Grid Monitoring 2015,OG-ABMI-629-21-4,56.092342,-113.575829,Boreal,Central Mixedwood,Lower Peace,20.2,515,93,476,-0.4,-21,15.5,56.092342
OG-ABMI-630-52-1_ABMI Off-Grid Monitoring 2018,630,ABMI Off-Grid Monitoring 2018,OG-ABMI-630-52-1,56.071377,-113.253578,Boreal,Central Mixedwood,Lower Peace,20.2,514,90,475,-0.4,-20.5,15.3,56.071377
OG-ABMI-630-53-1_ABMI Off-Grid Monitoring 2018,630,ABMI Off-Grid Monitoring 2018,OG-ABMI-630-53-1,56.071377,-113.253578,Boreal,Central Mixedwood,Lower Peace,20.2,514,90,475,-0.4,-20.5,15.3,56.071377
OG-ABMI-633-51-1_ABMI Off-Grid Monitoring 2018,633,ABMI Off-Grid Monitoring 2018,OG-ABMI-633-51-1,55.970795,-112.23922,Boreal,Central Mixedwood,Lower Athabasca,21.4,525,93,468,0,-19.5,15.7,55.970795
OG-ABMI-633-52-1_ABMI Off-Grid Monitoring 2018,633,ABMI Off-Grid Monitoring 2018,OG-ABMI-633-52-1,55.970795,-112.23922,Boreal,Central Mixedwood,Lower Athabasca,21.4,525,93,468,0,-19.5,15.7,55.970795
OG-ABMI-634-51-1_ABMI Off-Grid Monitoring 2018,634,ABMI Off-Grid Monitoring 2018,OG-ABMI-634-51-1,55.959297,-112.013794,Boreal,Lower Boreal Highlands,Lower Athabasca,19.8,510,88,481,-0.5,-19.6,15,55.959297
OG-ABMI-634-52-1_ABMI Off-Grid Monitoring 2018,634,ABMI Off-Grid Monitoring 2018,OG-ABMI-634-52-1,55.959297,-112.013794,Boreal,Lower Boreal Highlands,Lower Athabasca,19.8,510,88,481,-0.5,-19.6,15,55.959297
OG-ABMI-637-51-1_ABMI Off-Grid Monitoring 2018,637,ABMI Off-Grid Monitoring 2018,OG-ABMI-637-51-1,55.811905,-111.004028,Boreal,Central Mixedwood,Lower Athabasca,21.4,529,95,467,0,-20,16,55.811905
OG-ABMI-637-52-1_ABMI Off-Grid Monitoring 2018,637,ABMI Off-Grid Monitoring 2018,OG-ABMI-637-52-1,55.811905,-111.004028,Boreal,Central Mixedwood,Lower Athabasca,21.4,529,95,467,0,-20,16,55.811905
OG-ABMI-638-51-1_ABMI Off-Grid Monitoring 2018,638,ABMI Off-Grid Monitoring 2018,OG-ABMI-638-51-1,55.781212,-110.729614,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.781212
OG-ABMI-638-61-1_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-1,55.731094,-110.720607,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.731094
OG-ABMI-638-61-10_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-10,55.748363,-110.748283,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.748363
OG-ABMI-638-61-100_ABMI Northern Focal Areas 2019,638,ABMI Northern Focal Areas 2019,OG-ABMI-638-61-100,55.875513,-110.674715,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.875513
OG-ABMI-638-61-100_ABMI Northern Focal Areas 2020,638,ABMI Northern Focal Areas 2020,OG-ABMI-638-61-100,55.875513,-110.674715,Boreal,Central Mixedwood,Lower Athabasca,21.9,514,99,462,0.1,-19.4,15.8,55.875513
